sat,colgpa,athlete,female
920,2.04,1,1
1170,4,0,0
810,1.78,1,0
940,2.4200001,0,0
1180,2.6099999,0,0
980,3.03,0,1
880,1.84,0,0
980,3.05,0,0
1240,3,0,0
1230,2,0,0
1140,2.98,0,1
1150,2.9300001,0,1
1080,2,1,0
990,2.21,0,1
1000,3.3299999,0,1
1050,1.0700001,0,1
1160,2.29,0,1
1190,3.1500001,0,0
1030,2.6500001,0,1
960,2.4100001,1,0
840,2.3900001,0,0
920,2.6400001,0,1
840,2.1800001,0,1
1000,2.8399999,0,0
1150,2.8399999,0,1
1040,2.9300001,0,0
970,2.29,0,1
1200,2.3800001,0,1
1090,3.9200001,0,1
1340,2.23,0,0
740,1.33,0,1
880,2.8099999,0,0
820,2.0899999,1,0
1060,2.25,0,0
730,1.9,1,0
820,3,0,1
780,2.4000001,1,0
1040,2.1600001,0,0
870,2.0699999,0,1
940,2.21,0,0
980,2,1,0
1020,2.9100001,0,1
1180,3,1,0
1100,2.72,0,0
1030,3.55,0,0
960,3.25,0,1
910,2.8599999,0,0
1060,2.04,0,0
880,1.92,0,1
1010,3.5799999,0,1
700,2.3900001,1,0
930,3.46,0,1
900,3.1600001,0,0
1090,1.03,0,0
1120,3,0,1
960,2.3299999,1,0
890,2.45,1,0
1240,3.6500001,0,0
1090,3.6099999,0,1
820,3.25,0,1
940,3.8099999,0,0
820,2.25,1,0
970,2.4100001,1,0
790,2.8199999,1,0
1080,2.3,0,1
850,3.27,0,1
850,2.6600001,1,1
820,2.26,1,0
1120,2.3299999,1,0
880,2.3699999,1,1
1540,4,0,0
780,3.8099999,0,0
1280,3.8699999,0,1
1260,4,0,1
830,1.95,1,0
980,2.4300001,0,0
500,1.21,1,0
1040,3,0,0
930,1.75,0,1
570,1.73,1,0
820,1.84,0,1
1310,2.25,0,0
770,2.1300001,0,1
1180,3.77,0,0
1310,3.22,0,0
1150,2.1700001,0,0
1130,2.77,0,0
1110,3.3599999,0,1
1210,3.6199999,0,0
1090,3.7,0,1
1040,2,0,1
1340,3.6900001,0,1
900,1.75,0,0
650,2.1900001,1,0
1190,3.4000001,0,1
990,1.4299999,0,1
1160,2.78,0,1
1140,2.6099999,1,0
1180,3.0899999,1,0
1120,2.8299999,0,1
1010,1.9299999,0,1
1160,2.8800001,0,0
1200,3.3099999,0,1
720,1.9299999,1,1
1190,2.4100001,0,0
970,2.9200001,0,1
1210,3.52,0,1
930,2.9300001,0,0
1000,2.28,0,0
970,1.95,0,0
960,3.02,1,1
980,3.25,0,0
960,3.3199999,0,0
970,2.03,1,0
960,2.3399999,0,1
1160,3.4100001,0,0
1080,2.5599999,0,0
990,4,0,1
1130,1.33,0,1
1060,2.25,0,0
1060,2.5999999,0,1
1120,2.6300001,0,0
1030,2.5799999,0,0
1070,3.04,0,0
910,2.76,0,0
1100,1.95,0,0
1000,2.9200001,0,0
1000,3.4100001,0,0
970,2.73,0,1
1070,2.54,0,0
950,3.0599999,0,0
1140,1.9299999,0,1
1060,3.23,0,0
940,2.54,1,0
960,2.22,0,0
890,1.99,0,0
1120,1.75,0,1
1150,3.1400001,0,0
1270,3.24,0,0
1100,2,0,1
1150,2.5,0,0
1090,1.6,0,0
1220,3.05,0,1
1070,2.4100001,0,0
1030,2.73,0,1
980,2.9300001,0,0
930,2.5,0,1
1030,2.6900001,0,1
1100,2.6099999,1,0
1100,2.9400001,0,0
1070,3.4400001,0,0
980,3.1199999,0,0
1000,3.46,0,1
1190,3.6400001,0,1
1060,2.5699999,0,0
1240,3.4300001,0,1
950,2.24,0,1
1300,2.78,0,0
860,2.1300001,1,0
1010,2.6900001,0,0
1180,3.29,0,1
1040,2.3099999,0,1
1010,2.3099999,0,1
1000,1.88,0,0
1030,2.47,0,0
1100,2.6600001,0,0
1240,2.77,0,0
1110,3.77,1,1
1070,1,0,0
1040,2.02,0,0
1290,3.4300001,0,1
1010,2.6900001,0,0
1080,3.7,0,0
1120,3.6800001,0,1
1210,1.97,0,0
990,2.9300001,0,1
1130,2.23,0,0
840,2.1199999,1,1
1050,3.6600001,0,1
1050,1.8,1,0
1000,2.48,0,1
1020,2.97,0,1
960,1.7,0,1
890,1.98,1,1
1320,4,0,0
1140,3.3699999,0,1
1000,1.84,0,0
1040,2.1500001,0,0
850,1.8099999,1,0
1050,3.5599999,0,1
1140,2.0699999,0,0
1120,2.23,0,1
1060,3.1099999,0,1
1090,2.72,0,0
1080,2.1099999,0,0
1070,2.75,0,1
1130,3.1600001,0,0
1410,3.6900001,0,0
1000,2.45,0,0
1130,3.72,0,0
1130,2.02,0,1
1120,3.1300001,0,1
1180,2.76,0,0
1020,2.8699999,0,1
810,2.4300001,0,1
940,3.0599999,0,1
880,2.75,0,1
910,2.46,1,0
1490,4,0,1
1040,3.01,0,0
1220,3.3,0,0
1140,3.4200001,0,1
1170,3.4300001,0,0
910,.60000002,1,0
1290,3.71,0,0
1340,3.3800001,0,0
1110,2.6199999,0,0
1040,3.49,0,0
1070,2.53,0,0
1200,3.77,0,0
950,2.6500001,0,0
1110,2.6700001,1,1
970,2.3499999,0,0
1090,2.6700001,0,1
960,2.05,0,1
980,2.3099999,0,1
1070,2.9200001,0,0
1040,2.9400001,0,0
1170,3.28,1,0
1010,2.72,0,0
1110,2.9300001,0,1
890,2.2,0,1
950,2.4200001,0,0
780,2.8499999,1,1
1230,2.1600001,0,1
1160,3.55,0,1
1020,2.46,0,1
1200,2.26,0,0
1230,3.47,0,0
1110,2.2,0,1
1250,2.3399999,0,0
980,2.1800001,0,0
1100,3.0999999,0,0
880,2,0,0
1050,2.9400001,0,0
910,3.03,0,1
1140,3.3199999,0,1
990,3.1400001,0,0
1130,2.76,0,0
1010,1.29,0,1
1030,3.1099999,0,1
1070,2.1199999,0,1
900,2.72,0,1
1030,2.8199999,0,0
940,3.1099999,0,1
1020,2.46,0,0
980,3.01,0,1
1060,3.1800001,0,0
1160,3.5,0,0
1210,2.7,0,0
1050,2.76,0,1
1160,2.8800001,0,0
850,3.6099999,0,1
950,2.71,0,1
940,2.4300001,0,1
1040,3.2,0,1
1090,3.02,0,0
1210,4,0,0
1100,3.2,0,1
1180,1.8200001,1,0
750,1.41,0,0
1280,3.76,0,0
940,2.6199999,0,0
1010,1.9299999,0,1
990,2.6900001,0,1
990,1.5,0,0
1010,3.1600001,0,1
1130,3.1099999,0,1
970,3.29,0,1
1050,2.9400001,0,1
1080,3.3099999,0,0
1050,2.9300001,0,0
1000,3.28,0,1
1270,3.46,0,0
1160,2.27,0,0
930,1.5,0,1
1010,2.3099999,0,0
1010,3.6199999,0,1
990,2.6900001,0,1
540,1.91,1,0
1050,2.53,0,0
1150,3.6199999,0,1
1050,2.9000001,0,0
990,3.1300001,0,1
1050,2.8699999,0,0
1170,2.26,0,0
930,3.48,1,1
1000,2.4400001,0,0
1020,3.1700001,0,1
1160,3.0799999,0,1
1130,3.3800001,0,1
900,3.0599999,0,1
870,2.75,0,1
970,3.0599999,0,0
1090,2.5999999,0,0
1040,3.1700001,0,1
1070,3.1700001,0,0
810,2.3599999,1,0
1200,3.21,0,0
1020,3.5899999,0,1
1230,2.8399999,0,1
1040,2.98,0,1
830,1.9,0,1
1230,3.6500001,0,0
1050,4,0,1
910,2.3599999,0,1
1070,3.52,0,1
1050,3.3299999,0,1
1110,3.5,0,0
1170,2.72,0,1
890,2.3499999,0,1
720,2.26,0,1
1170,3,0,0
1140,2.8599999,0,0
1200,2.55,0,1
1010,2.3800001,0,1
1330,4,0,1
920,3.0699999,0,0
1180,2.4100001,0,0
1000,3.4200001,0,1
1140,2.8599999,0,1
1130,3.78,0,0
1010,2.46,1,0
930,1.88,1,0
1110,2.3699999,0,1
850,2.0699999,1,0
1050,2.8800001,0,0
1080,2.8,0,0
1240,3.6500001,0,1
1060,2.8699999,0,1
1160,3.47,1,1
970,2.8299999,0,1
1100,2.4100001,0,0
1060,3.8499999,0,1
790,2.46,0,1
880,1.09,0,0
1000,3.28,0,1
990,2.3800001,0,1
1040,2.3,0,0
1040,3.28,0,1
840,3,0,1
1060,3.01,0,1
950,2.3,0,1
1030,2.3299999,0,1
920,3.4100001,0,1
1220,3.76,0,1
750,1.0599999,0,1
900,3.2,0,0
800,1.8,0,1
880,2.3499999,0,1
870,3.5,1,1
910,3.29,0,1
880,2.05,0,0
1100,2.97,1,0
1180,2.51,0,0
1210,.55000001,0,0
1100,2.0599999,0,0
1180,3.29,0,1
1070,2.3299999,0,1
1020,2.22,0,1
1030,2.8699999,0,1
1060,2.8499999,0,0
1030,3.27,0,0
1080,2.71,0,0
1100,2.02,0,0
1080,2.3,0,0
850,2.5599999,0,1
1040,2.6400001,0,0
1070,3.47,0,0
850,1.5599999,0,1
730,2.29,0,1
1040,2.72,0,0
1130,2.53,0,1
1200,3.9100001,0,1
1360,3.78,0,0
700,2.5999999,1,0
1120,3.1099999,0,1
700,2,0,0
960,2.21,0,1
950,3.3199999,0,1
750,2.4400001,1,0
990,3.52,0,1
950,1.86,0,0
1130,2.1500001,0,1
980,2,1,0
800,2,0,1
1280,3.3800001,0,1
1070,2.4000001,0,0
1170,3.47,0,0
970,2.3800001,0,0
1130,3.6199999,0,1
860,2.8599999,0,0
1060,3.1700001,0,1
1090,2.6400001,0,0
850,2.0699999,0,0
1120,2.27,0,1
960,2.9300001,0,1
1270,3.76,0,0
1130,3.1500001,0,1
1110,3.1099999,0,0
830,2.46,0,1
1150,2.6099999,0,0
1210,2.76,0,1
870,2.22,1,0
1010,2.9000001,0,0
990,2.6700001,0,1
1080,2.28,0,0
1150,3.53,0,1
1100,2.8599999,0,0
940,1.87,0,1
1360,3.98,0,0
820,2.52,0,1
760,1.0700001,0,1
680,2.04,1,1
880,2.21,0,1
1170,2.71,0,1
1220,2.76,1,0
1020,2.8699999,0,1
910,2.5,0,1
1090,3.1199999,0,1
990,3.1300001,0,1
910,2.8599999,0,0
1120,2.1099999,0,1
1090,1.8,0,0
1090,3,0,1
880,2.23,0,1
1060,3.6400001,0,0
930,3.28,0,1
730,3.0899999,0,1
970,3.3099999,0,1
900,1.83,0,1
1120,3.76,0,0
1000,1.37,0,1
1130,2.78,0,1
860,3.46,0,1
830,2.2,0,1
910,2.25,0,1
1050,2.6500001,0,1
930,2.0599999,0,1
1050,3.3399999,0,1
1240,3.8599999,0,1
1230,2.97,0,0
830,1.92,1,0
950,1.9299999,0,0
1200,2.3299999,0,1
1180,3.5799999,0,1
1200,3.51,0,0
1010,1.8099999,0,1
1160,3.4200001,0,1
1070,2.6600001,0,1
820,2.47,1,0
1000,2.4200001,0,0
1120,2.73,0,0
740,2.0699999,1,0
670,1.89,1,0
980,2.3099999,0,0
1130,2.8199999,0,1
1240,3.45,0,0
720,2.23,1,0
690,1.72,1,0
1210,3.0899999,0,1
1120,2.3299999,0,1
1020,2.1800001,0,1
1040,2.8,0,0
1080,3.1400001,0,1
1080,3.25,0,0
1130,2.99,0,0
1120,2.6800001,0,1
1120,3.1700001,0,1
1190,3.78,0,0
1010,1.9,0,1
1210,2.71,0,0
1020,2,1,0
1060,3.2,0,1
790,2.1800001,0,1
1220,3.9300001,0,1
850,1.86,0,0
900,2.51,0,1
1020,2.5,0,1
1090,2.8599999,1,0
1130,3.4200001,0,1
1130,2.76,0,0
910,3.28,0,1
1040,2.5,0,1
1160,3.73,0,0
1030,2.5,0,0
1040,2.3900001,0,1
1070,2.6800001,0,1
1010,2.8800001,0,0
750,2.75,0,0
950,2.6800001,0,1
750,1.88,1,0
1060,3.4300001,0,1
990,.25,0,1
1360,3.95,0,0
1080,1.8200001,0,1
890,2.46,0,1
1180,2.0999999,0,0
1120,2.23,0,1
990,2.96,0,0
1100,2.0699999,0,0
1150,3.4100001,0,0
970,1.98,1,0
950,2.71,0,1
960,2.52,0,0
1220,3.22,0,1
930,2.1300001,0,0
1350,3.6400001,0,0
1280,3.48,0,0
1020,2.6600001,0,0
940,2.5799999,0,1
1160,3.1300001,0,0
1020,3.24,1,1
850,2,0,1
1260,2.5,0,0
890,1.14,0,1
940,1.63,0,1
1160,3.0599999,0,0
1040,2.26,0,0
1010,2.8800001,0,1
1070,2.8699999,0,1
1160,3.1199999,0,1
1040,2.75,0,1
1060,3.1700001,0,1
900,2.73,1,0
910,1.64,0,1
1130,3.4100001,0,1
1000,2.76,0,1
890,2.4200001,0,1
1030,1.6900001,0,1
1190,3.26,0,1
1150,3.1600001,0,0
1290,3.53,0,0
1180,3.48,0,0
1220,2.0599999,0,0
1100,2.1700001,0,0
1030,2.54,0,1
960,3.1300001,0,1
1080,3.4300001,0,1
980,1.97,1,0
880,1.6,0,1
1090,2.8,0,0
800,2.0799999,0,1
960,1.8,0,0
1100,2.8599999,0,0
870,2.71,0,1
960,2.1199999,0,0
870,2.4400001,1,1
1140,2.46,0,0
1170,2.8299999,0,0
1140,3,0,0
1210,3.5699999,0,0
1020,3.8800001,0,1
1050,2.3,0,1
1130,2.8099999,0,0
1160,2.5999999,0,0
1070,3.2,0,0
1020,2.3900001,0,0
940,2.47,0,0
950,1.97,0,0
910,2.52,0,1
1240,2.96,0,1
970,3.2,0,0
1140,2.53,0,1
940,1.64,0,1
940,2.79,0,0
790,2.71,1,1
1190,3.3399999,0,0
1010,2.97,1,1
1020,2.95,0,1
1050,2.5999999,1,1
1270,2.8699999,0,0
860,2.76,1,1
1140,3.52,1,0
1310,3.48,0,0
940,2.4100001,0,0
1110,2.74,0,1
970,2.9000001,0,0
1140,3.1800001,0,1
970,2.28,0,0
840,2.4000001,0,1
1150,3.1700001,0,0
1020,2.1099999,0,0
1210,3.3499999,0,1
900,2.74,0,0
850,2.5999999,1,0
1320,2.8699999,0,1
1010,2.4000001,0,1
920,2.1099999,0,1
1330,4,0,0
880,2.78,0,0
1160,2.9400001,0,1
1090,2.7,0,0
1030,1.41,0,0
1150,2.51,0,1
1020,3.1800001,0,0
1030,1.97,0,0
1380,3.8,0,0
1240,3.4400001,0,0
1320,4,0,1
990,2.5,0,1
940,2.72,0,1
980,2.53,0,0
1120,3.29,0,1
970,3.02,0,1
1010,2.78,0,1
1120,2.0599999,0,0
1110,2.72,0,0
1430,3.55,1,0
900,2,0,1
1230,2.8399999,0,0
1240,2.3599999,0,1
1090,3.8800001,0,0
820,2.3099999,1,1
1000,2.25,0,0
1050,3.21,0,1
1090,2.5899999,0,1
1100,3.2,0,0
860,2.53,0,1
1320,2.6700001,0,0
1190,2.4400001,0,1
1010,2.6400001,0,1
1090,2.4200001,0,1
940,3,0,1
990,2.95,0,1
1180,3.25,0,1
1210,2.6800001,0,0
1250,2.73,0,0
950,1.29,0,0
1010,2.8,0,1
1060,2,0,1
1000,1.64,0,0
1030,3.95,0,1
810,2.4400001,0,1
1160,3.76,0,0
980,2.4100001,0,0
1000,2.76,0,0
1170,3.6600001,0,1
1190,3.21,0,1
1180,3.3299999,0,1
1190,2.71,0,1
780,2.8199999,0,0
1010,3.4100001,0,0
850,1.77,1,0
1240,3.6099999,0,1
1060,1.77,1,0
1180,2.55,0,0
830,2.7,0,1
1070,2.3099999,0,0
1090,2.02,0,0
1000,2.9200001,0,1
860,2.75,0,1
1000,2.1800001,0,1
1150,2.3599999,0,0
1150,3.53,0,0
1230,3.8699999,0,0
1120,2.5699999,0,0
870,1.36,0,0
1190,2.1099999,0,1
1060,3.5,0,1
1050,2.5799999,0,1
930,3.4000001,0,1
1030,2.79,0,0
970,2.7,0,1
1150,2.8800001,0,0
1020,2.4200001,0,1
1170,3.4200001,0,1
1000,3.0599999,0,1
1140,3.29,0,0
1070,2.5599999,0,1
940,1.97,0,1
1040,2.48,0,0
1100,2.4400001,0,0
1070,2.74,0,1
1150,2.8299999,0,0
1030,2.6600001,0,1
1410,4,0,0
1040,2.8499999,0,0
900,2.5,0,1
1000,2.99,0,1
1140,2.8,0,0
1130,2.6500001,0,0
1130,2.8199999,0,1
1220,2.8099999,0,0
1110,3.3699999,0,0
1170,2.72,0,1
1270,3.46,0,1
850,3.26,0,1
1040,2.9400001,0,1
1140,2.75,0,1
980,2.26,0,1
1220,4,0,1
1150,3.4000001,0,0
890,2.9000001,0,0
1030,2.6500001,0,0
1180,3.21,0,1
1030,3.1199999,0,1
940,2.47,0,1
1120,3.0699999,0,1
970,1.76,0,1
1090,3.4400001,0,0
940,3,0,1
980,2.5999999,0,1
1120,3.5799999,0,1
1110,3,0,0
1080,2.0699999,0,0
1130,3.8199999,0,0
1050,2,0,0
1130,2.6700001,1,0
1200,2.6400001,0,0
1110,2.53,0,1
800,2.26,0,0
1070,3.02,0,0
930,2.45,0,0
1170,1.9299999,0,0
980,2.53,0,0
1200,2.1099999,0,0
1170,3.4000001,0,0
900,3.2,0,0
1280,3,0,1
1240,2.95,0,0
1190,2.1700001,0,0
1000,2.5699999,0,0
940,2.75,0,0
980,2.54,0,0
1200,2.95,0,0
1060,1.9,0,0
1070,2.8099999,0,0
990,3.3,1,1
1060,2.1500001,0,0
1060,3.25,0,0
1270,2.8900001,0,0
1040,3.73,0,1
1320,3.6400001,0,0
1060,1.95,0,1
1240,2.0999999,0,0
1120,3,0,0
920,2.47,0,1
1230,2.71,0,1
1330,3.6600001,0,0
1130,2.0799999,0,0
1020,2.1600001,0,0
1060,1.8,0,1
1050,2.8800001,0,0
1080,2.8699999,0,1
1010,2.6099999,0,0
920,3.28,1,0
1030,2.1199999,0,1
850,3.8299999,0,1
1260,4,0,0
1030,3.02,0,0
830,3.05,0,0
1430,3.76,0,0
1210,4,1,0
1120,2.04,0,1
940,3.0799999,0,1
1350,3.4000001,1,1
1060,3.75,0,1
820,2.71,1,0
1100,2.54,0,0
1190,2.23,0,0
1070,3.21,0,1
1130,3.1099999,0,0
1060,3.4100001,0,1
900,2.8199999,0,1
1230,2.77,0,0
1290,3.3,0,0
1010,1.9299999,0,0
1010,1.2,0,0
840,2.24,0,0
1320,3.46,0,0
1010,1.88,0,1
1020,3.48,0,1
1110,2.5999999,0,0
1040,2.8499999,0,1
1020,1.58,0,1
1030,2.8800001,0,1
1220,2.3099999,0,0
1040,2.4300001,1,1
1060,2.0599999,0,0
1060,3.6300001,0,1
990,2.2,0,0
1050,2.6400001,0,0
960,3.1500001,0,1
980,2.23,0,1
940,2.9000001,0,1
980,1.21,0,0
1150,1.76,1,1
1000,2.4300001,1,1
1070,2.48,0,1
1180,3.46,0,0
910,2.46,0,1
1080,2.8299999,0,0
1050,3.52,0,1
640,1.73,1,0
1240,4,0,0
1280,2.0799999,0,0
820,2.23,0,1
990,2.76,0,0
1120,2.29,0,0
1060,3.25,0,0
1060,2.0699999,0,0
1150,3,0,1
1340,2.5599999,0,1
1070,2.26,0,0
970,2.1700001,0,1
1260,2.7,0,0
1080,3.1099999,0,1
1190,2.4100001,0,0
1040,2.6900001,0,1
800,2.2,1,0
1040,2.46,0,0
1150,2.52,0,1
1080,2.5799999,0,1
1290,3.48,0,0
980,2.24,0,1
470,1.89,1,0
1090,2.29,0,1
990,2.9100001,0,0
1040,3.3299999,0,0
1190,3.1400001,0,1
1100,2.29,0,0
1100,3.02,0,0
990,2.55,0,0
1160,3.3699999,0,1
960,2.6900001,0,0
930,2.8800001,0,0
1050,2.3599999,0,0
1040,2.6300001,0,1
1000,2.6199999,0,0
1000,2.55,0,0
1080,2.5699999,0,0
1080,2.4000001,0,1
1020,3.22,0,0
1060,2.29,0,0
970,2.25,0,0
1030,3.1099999,0,0
1080,1.62,0,0
1010,2.77,0,1
1030,2.47,0,1
1140,2.26,0,0
1170,2.5999999,0,0
1040,2.23,0,1
1080,1.97,0,0
1100,2.5999999,0,1
940,2.8699999,0,0
1020,2.3599999,0,1
1080,2.48,0,0
1200,2.3,0,0
1160,2.3299999,0,0
1060,2.9400001,0,1
970,3.23,0,1
1050,3.3900001,0,1
1130,3.0599999,0,0
1440,3.8,0,0
850,1.9,0,0
980,2.8,0,1
950,2.47,0,0
1050,2.9300001,0,1
1100,1.83,0,0
1100,2.47,0,0
1120,2.1500001,0,1
1190,2.02,0,0
920,2.53,0,1
1040,2.21,0,0
1110,2.9100001,1,1
1110,2.5599999,0,1
810,1.8,0,0
1030,2.0599999,0,0
1030,2.3499999,0,1
1070,2.2,0,1
1280,3.04,0,1
1180,3.1400001,0,1
980,2.54,0,1
1080,2.6800001,0,1
1290,4,0,0
1050,2,1,0
1120,2.8699999,0,1
1040,3.6600001,0,1
1200,1.6,0,0
1100,3.97,0,1
1140,3.1700001,0,0
1040,1.87,0,1
1110,3.23,0,0
990,3.27,0,1
1080,2.5,0,0
1330,3.9400001,0,0
1150,2.5999999,0,0
1130,2.3800001,0,0
840,2.73,0,1
1000,2.8099999,0,1
970,3.1500001,0,1
1060,2.95,0,0
1180,3.5,0,1
1080,2.4400001,0,0
1210,3.3299999,0,1
1060,3.1099999,0,1
1120,2.8699999,0,0
1130,3.5799999,0,0
1110,2.52,0,1
1020,2.46,0,1
960,2.6199999,0,1
990,2.8199999,0,0
890,3.26,0,1
960,2.6500001,0,0
1180,2.76,0,0
970,3.1400001,0,0
1020,3.23,0,0
1060,2.1500001,0,0
1130,3,0,1
940,2.21,0,1
990,3.3099999,0,1
980,1.72,0,0
1110,3.5,0,0
1040,3.0799999,0,1
1020,2,0,1
800,3.0599999,0,0
1060,2.21,0,0
1030,2.4000001,0,1
1070,2.78,0,1
1090,2.6099999,0,1
1200,2.25,0,0
1130,3.25,0,0
1230,3.8199999,0,1
1280,3.21,0,1
1000,2.23,0,1
860,2.2,0,1
1210,2.6600001,0,0
960,2.8,0,1
910,2.4100001,0,1
990,2.52,0,1
1080,2.6099999,0,0
830,2.02,0,1
910,2.1700001,0,1
1040,2.26,0,0
890,2.73,0,1
1030,2.72,0,1
1240,2.9100001,0,0
1060,3.26,0,1
860,2.76,0,1
900,2.6900001,0,1
1270,3.5,0,0
1010,1.9400001,0,1
1100,3.6099999,0,1
1010,1.79,0,1
910,2,0,1
760,2.7,0,1
900,2.6199999,0,1
1170,3.6800001,0,1
1050,2.48,0,0
980,3.4100001,0,0
1130,2.51,0,0
1210,3.6400001,0,0
1150,3.52,0,1
1050,3.1500001,0,0
1000,3.1600001,0,1
1030,2.5799999,0,0
950,2.0599999,0,1
1240,2.8299999,0,0
1030,1.84,0,0
1110,2.0899999,0,0
940,2.55,0,1
1020,2.8800001,0,0
970,2.3099999,0,1
960,3.0699999,0,1
1060,2.97,0,1
980,2.79,0,1
1070,2.26,1,0
1040,1.8,0,0
1000,2.8499999,0,1
990,2.4200001,0,1
1000,2.6199999,0,0
1180,3.6800001,0,1
1200,2.02,0,1
1080,2.05,0,1
1150,3.6700001,0,0
1110,3.4300001,0,1
1120,1.6799999,0,0
1090,2.4000001,0,0
1310,3.05,0,0
1080,2.5799999,0,0
1090,2.4000001,0,1
1020,1.9,0,1
1080,3.22,0,1
960,2.77,0,0
860,2.3800001,0,1
1050,2.8099999,0,0
1060,3.22,0,0
1190,2.1600001,0,0
1000,2.6300001,0,0
1180,2.54,0,0
1020,1.95,0,0
1060,2.29,0,0
1000,2.9100001,0,0
1010,2.3699999,0,1
1160,2.9000001,0,0
1300,2.3,0,1
1010,3.0799999,0,0
970,3.5999999,0,1
1210,4,0,0
1030,3.3699999,0,1
1230,3.3299999,0,0
980,2.73,0,1
1110,2.1700001,0,0
950,2.6300001,0,0
1180,2.9100001,0,1
1040,2.0799999,0,0
1290,3.9200001,0,1
1010,2.25,0,0
980,2.0999999,0,1
970,1.6900001,0,1
1180,3.4100001,0,1
1340,4,0,0
1170,3.47,0,1
1230,3.4000001,0,1
920,2.0999999,0,0
1030,2.96,0,1
920,2.99,0,1
1140,3.2,0,1
810,1.14,0,0
